feature,importance
alias_coef_variacion,0.10282692072904133
alias_coef_variacion_sqrt,0.10070332850578678
antiguedad_normalizada,0.08294999395952951
alias_pct_temporada_alta,0.08249229161430213
dia_del_año,0.06461622527085457
alias_frecuencia,0.0614765542233762
alias_frecuencia_log,0.05915936967644313
alias_pct_fin_semana,0.05807377723900332
loc_num_registros,0.05525309942528402
loc_diversidad_alias,0.05471227712954693
dia_semana_sen,0.043056803896418486
semana_del_año,0.033955835019524774
mes_sen,0.03157605789226692
dia_semana_cos,0.030723181847234594
mes_cos,0.020418987966149202
loc_tamaño_Pequeña,0.018498771039235168
loc_tamaño_Mediana,0.015867627362158757
loc_tamaño_Grande,0.014326649015324542
es_alias_popular_loc_grande,0.011360204227240281
dato_medio,0.00907253363083304
es_alias_popular_loc_pequeña,0.00902176922197242
alias_popularidad_Media,0.007084284767616987
dato_antiguo,0.0069058196747909285
alias_popularidad_Alta,0.00634792174591221
alias_popularidad_Baja,0.006318268009672877
es_temporada_alta,0.005585895902927438
es_fin_semana,0.004539332788670928
dato_reciente,0.002453899745317412
dato_muy_reciente,0.000622318473565095
ID_ALIAS_ANALYTICS,0.0
ID_AJENO,0.0
dato_muy_reciente_win,0.0
